OBJECTID,Tract,ZIP,Population,CIscore,CIscoreP,Ozone,Ozone_Pctl,PM2_5,PM2_5_Pctl,Diesel_PM,Diesel_PM_Pctl,Pesticides,Pesticides_Pctl,Tox_Releases,Tox_Releases_Pctl,Traffic,Traffic_Pctl,Drinking_Water,DrinkingWaterPctl,Lead,Lead_Pctl,Cleanups,Cleanups_Pctl,GroundwaterThreats,GW_Threats_Pctl,Haz_Waste,Haz_Waste_Pctl,Imp_Water_Bodies,ImpWaterBodPctl,Solid_Waste,Solid_Waste_Pctl,Pollution,PollutionScore,Pollution_Pctl,Asthma,Asthma_Pctl,Low_Birth_Weight,LowBirthW_Pctl,Cardiovascular,Cardiovasc_Pctl,Education,Education_Pctl,Ling_Isol,Ling_Isol_Pctl,Poverty,Poverty_Pctl,Unemployment,Unemploy_Pctl,HousBurd,HousBurd_Pctl,PopChar,PopCharScore,PopCharP,Child_10,Pop_10_64,Elderly_65,Hispanic,White,African_American,Native_American,Asian_American,Pacific_Islander,Other_Multiple,County,ApproxLoc,DAC_category,Shape__Area,Shape__Length
1,6083002502,93455,7573,44.00243999,80.81190116,0.03716809,14.92221531,7.813763747,11.74859988,0.064284104,23.75855632,6537.427363,97.51724138,6.711006533,8.027006752,153.2454563,2.525,481.5470034,58.29898839,58.39882148,63.56647763,5.6,44.17693169,99.85,96.5631745,0.335,54.63931171,31,99.85300294,9,88.9347079,48.97481572,5.979815272,67.71624144,74.64,81.81704885,6.32,80.72876572,12.42,50.02492522,44.1,92.93849658,18.4,84.16565164,46.4,77.98994975,4.1,32.27485685,21.2,67.71863118,70.93721523,7.358494869,81.34140192,17.0078,71.953,11.0392,90.3869,5.7837,0.5414,0,3.0503,0,0.2377,Santa Barbara,Unincorporated Santa Barbara County area,CalEnviroScreen 4.0 Top 25%,247038034.574219,81455.0121780076
2,6083003001,93111,5766,41.13433261,76.81543116,0.03975537,20.84629745,8.102836607,14.87243311,0.17684062,57.71001867,309.0738177,83.20689655,160.298645,30.53263316,1106.481464,64.3,327.1017862,30.94792057,56.03731586,60.13862634,11,63.69914147,85.75,95.74962643,1.26,88.48444739,11,86.95926081,2.5,59.17525773,56.48408441,6.896695487,85.2769135,31.22,27.21834497,6.7,86.54092892,10.69,35.48105683,17.7,60.90863073,10.6,64.13587766,38.8,67.24874372,9.3,83.22488287,17.3,50.72243346,57.4974453,5.964353898,61.67423096,10.1283,75.3382,14.5335,50.5723,29.7607,6.469,0,10.5966,0.8151,1.7863,Santa Barbara,Goleta,CalEnviroScreen 4.0 Top 25%,5999328.01953125,10160.4496871494
3,6025011700,92243,5243,41.6387465,77.5466465,0.05022962,62.5264468,8.776915342,32.20908525,0.150636853,51.3378967,0,0,41.28102113,16.85421355,908.7761586,52.2125,392.7431513,42.65018109,52.75069568,55.52614997,0,0,3,22.11522497,1.21,87.98146923,10,82.96934061,1,35.71592211,41.36183657,5.05027203,46.88238955,100.38,92.79661017,6.18,78.65024378,20.31,88.27268195,26.1,75.09491268,13.2,71.91771552,50.8,82.78894472,13.8,95.49713691,14.7,36.6539924,79.48185954,8.244852208,92.08270298,14.4574,72.7255,12.8171,88.7278,8.0679,0.4959,0,0.6485,0,2.0599,Imperial ,El Centro,CalEnviroScreen 4.0 Top 25%,2766422.7890625,7578.55497526657
4,6025011600,92243,5728,37.65725937,71.5834594,0.05022962,62.5264468,8.25395675,17.19975109,0.095172208,35.56938395,0,0,38.6602764,16.36659165,1034.774154,60.25,392.7431513,42.65018109,51.34928909,53.30812854,1,17.07726764,5,30.88162045,1.21,87.98146923,10,82.96934061,0.25,11.59221077,39.35600084,4.805359885,41.08276291,100.38,92.79661017,4.82,47.39543238,20.31,88.27268195,32.5,82.99164768,17.9,83.11002842,45.3,76.62060302,7.2,69.13066111,20,62.82636248,75.54538436,7.836511785,87.35501765,10.5971,72.9923,16.4106,87.4476,6.2151,4.2074,0.3317,0.0349,0,1.7633,Imperial ,El Centro,CalEnviroScreen 3.0 Disadvantaged Communities Only,2913385.3203125,6910.54150683738
5,6025011500,92243,6227,48.29696481,85.87997983,0.04978792,60.65961419,8.465041255,21.91661481,0.255349328,70.88985688,4.723223582,54.03448276,36.46799403,15.86646662,937.3153588,54.325,392.7431513,42.65018109,62.2929975,68.84688091,8,53.43411721,9.5,44.82815872,0.26,44.72534745,10,82.96934061,0,0,47.49622237,5.799279317,63.5345364,100.38,92.79661017,4.24,32.2684116,20.31,88.27268195,47.7,95.17843584,32,96.46772229,59,90.94221106,19.7,99.14107236,20.7,65.5513308,80.28436119,8.328097712,92.78870398,14.5174,73.1331,12.3494,90.6215,4.898,1.3329,0.1285,1.5417,1.2687,0.2088,Imperial ,El Centro,CalEnviroScreen 4.0 Top 25%,2908355.13671875,7701.05751665871
6,6025011400,92243,4570,54.85436803,92.41048916,0.05022962,62.5264468,8.702281199,29.88176727,0.093500392,35.04667082,57.1272259,73.13793103,39.49348067,16.51662916,1000.786639,57.85,392.7431513,42.65018109,66.58024393,74.80781348,8,53.43411721,5,30.88162045,0.675,77.45863666,10,82.96934061,6,79.95418099,54.3479797,6.635877526,81.00808961,100.38,92.79661017,4.86,48.53733641,20.31,88.27268195,48.7,95.82384207,25.4,92.71890648,73,98.32914573,15.4,97.13690786,13.4,30.20278834,79.68893047,8.266332193,92.30963187,18.8184,66.2144,14.9672,91.9694,3.2604,2.7133,0,0,0,2.0569,Imperial ,El Centro,CalEnviroScreen 4.0 Top 25%,5671934.16796875,10244.3592302652
7,6025010500,92227,7421,49.06815463,86.82551689,0.04320513,32.1468575,9.091847481,39.1910392,0.065107373,24.15681394,151.8653189,79.51724138,19.65515803,11.50287572,687.46522,35.1,457.9589149,54.98938429,42.06706734,39.93698803,12.5,70.1754386,21.5,70.29719409,0.275,46.35340834,26,99.51700966,1,35.71592211,47.84903152,5.842357245,64.51773491,135.16,97.7442672,4.98,51.82191429,19.97,87.41276171,28.1,77.72715768,23.2,90.48585736,59.5,91.31909548,17.2,98.29515877,18.6,56.85678074,80.96489554,8.398691243,93.46949067,18.0434,72.5913,9.3653,78.7899,15.4427,2.3716,0.4716,0.1887,0.5255,2.2099,Imperial ,Brawley,CalEnviroScreen 4.0 Top 25%,5178158.546875,10258.0563231102
8,6025010400,92227,7303,53.2135332,91.04891578,0.04320513,32.1468575,9.051216809,38.44430616,0.099275766,37.03795893,50.50890531,72.27586207,20.4044329,11.6404101,374.8528974,12.5125,457.9589149,54.98938429,53.37273269,56.30749842,24,85.62896603,17,63.37373402,0.15,26.67107876,26,99.51700966,2,52.89805269,48.1521542,5.879368463,65.48848787,135.16,97.7442672,5.03,53.15627406,19.97,87.41276171,39.7,89.72412048,25.5,92.80010827,70.8,97.65075377,21.7,99.51847996,34.3,95.6400507,87.25223515,9.050892716,98.05849723,22.1005,65.9455,11.954,95.495,3.2179,0.0685,0,0.6983,0.5203,0,Imperial ,Brawley,CalEnviroScreen 4.0 Top 25%,8785387.41015625,12257.9180183297
9,6025010300,92227,1046,39.90753563,74.83610691,0.04340275,32.15930305,8.87816348,34.68574984,0.028778142,10.15556938,1445.319397,91.37931034,17.920283,10.99024756,237.7810141,5.4125,364.5478758,37.61708505,58.42447096,63.60428481,4.6,41.09742441,52.25,90.71891084,0.155,27.08140304,29,99.6850063,14,95.25773196,47.42303594,5.790343269,63.37274424,117.59,95.67547358,3.01,9.327687965,17.75,79.7108674,14.6,54.41660339,10.2,62.66071187,41.3,71.09296482,15.3,97.07183758,,,66.4409362,6.892084592,75.05042864,18.6424,67.0172,14.3403,40.5354,53.9197,0,0.956,2.7725,0,1.8164,Imperial ,Unincorporated Imperial County area,CalEnviroScreen 3.0 Disadvantaged Communities Only,666882409.113281,157849.170151357
10,6025012001,92231,3884,44.6508674,81.55572365,0.05395594,70.28002489,12.42287298,90.59116366,0.105416033,38.99191039,0,0,490.4607544,51.13778445,,,440.6835349,52.74135132,63.9869516,71.56899811,0,0,0,0,0.035,4.93712773,26,99.51700966,0,0,42.70753609,5.214581674,50.74051027,60.28,69.34197408,4.66,42.8021555,21.12,90.95214357,43.5,92.52088079,47.3,99.28271755,67,96.04271357,24.7,99.75273295,43.3,99.36628644,82.54591199,8.562694036,94.93192133,17.07,64.8301,18.0999,98.6097,0.1802,0.5922,0,0,0,0.6179,Imperial ,Calexico,CalEnviroScreen 4.0 Top 25%,809175.85546875,4492.4841657417
